,Latitude,Longitude,Tavg,Depart,DewPoint,Heat,PrecipTotal,StnPressure,ResultSpeed,ResultDir,AvgSpeed,CULEX ERRATICUS,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS,5,6,7,8,9,distances,precips
0,41.95469,-87.800991,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,1,0,0,0,0,1,0,0,0,0,0.01917360620810163,1.7919999999999998
1,41.95469,-87.800991,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.01917360620810163,1.7919999999999998
2,41.994991,-87.769279,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.016445031133994762,1.7919999999999998
3,41.974089,-87.824812,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,1,0,0,0,0,1,0,0,0,0,0.41802787155591525,1.7919999999999998
4,41.974089,-87.824812,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.41802787155591525,1.7919999999999998
5,41.9216,-87.666455,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.30326155482196726,1.7919999999999998
6,41.891118,-87.65449100000001,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.6775603317128389,1.7919999999999998
7,41.867108,-87.654224,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,1,0,0,0,0,1,0,0,0,0,0.5712346065098306,1.7919999999999998
8,41.867108,-87.654224,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.5712346065098306,1.7919999999999998
9,41.896282,-87.655232,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.7006502925722511,1.7919999999999998
10,41.919343,-87.694259,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,1,0,0,0,0,1,0,0,0,0,0.0006903264561528245,1.7919999999999998
11,41.921965,-87.632085,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,1,0,0,0,0,1,0,0,0,0,0.8669218681749369,1.7919999999999998
12,41.921965,-87.632085,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.8669218681749369,1.7919999999999998
13,41.688324,-87.676709,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,1,0,0,0,0,1,0,0,0,0,0.5299644127656913,1.7919999999999998
14,41.688324,-87.676709,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.5299644127656913,1.7919999999999998
15,41.862292,-87.64886,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.5456963216418828,1.7919999999999998
16,41.720848,-87.666014,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.027956626060435086,1.7919999999999998
17,41.731922,-87.677512,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.5754408624507836,1.7919999999999998
18,41.731922,-87.677512,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,1,0,0,0,0,0,1,0,0,0,0,0.5754408624507836,1.7919999999999998
19,41.891126,-87.61156,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,1,0,0,0,0,1,0,0,0,0,0.6098654471379569,1.7919999999999998
20,41.891126,-87.61156,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.6098654471379569,1.7919999999999998
21,41.999128999999996,-87.795585,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,1,0,0,0,0,1,0,0,0,0,0.002978462953366022,1.7919999999999998
22,42.01743,-87.68776899999999,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,1,0,0,0,0,1,0,0,0,0,0.09712775158119238,1.7919999999999998
23,41.907645,-87.760886,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.005440446808169836,1.7919999999999998
24,41.732984,-87.649642,74.0,10.0,58,0.0,0.0,29.39,5.8,18,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0.0036247754806179857,1.7919999999999998
25,41.95469,-87.800991,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,1,0,0,0,0,0,1,0,0,0,0.01917360620810163,2.342
26,41.95469,-87.800991,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,0,1,0,0,0,0,1,0,0,0,0.01917360620810163,2.342
27,41.95469,-87.800991,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,1,0,0,0,0,0,0,1,0,0,0,0.01917360620810163,2.342
28,41.974089,-87.824812,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,1,0,0,0,0,0,1,0,0,0,0.41802787155591525,2.342
29,41.974089,-87.824812,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,0,1,0,0,0,0,1,0,0,0,0.41802787155591525,2.342
30,41.9216,-87.666455,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,1,0,0,0,0,0,1,0,0,0,0.30326155482196726,2.342
31,41.9216,-87.666455,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,0,1,0,0,0,0,1,0,0,0,0.30326155482196726,2.342
32,41.9216,-87.666455,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,1,0,0,0,0,0,0,1,0,0,0,0.30326155482196726,2.342
33,41.891118,-87.65449100000001,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,0,1,0,0,0,0,1,0,0,0,0.6775603317128389,2.342
34,41.867108,-87.654224,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,1,0,0,0,0,0,1,0,0,0,0.5712346065098306,2.342
35,41.867108,-87.654224,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,0,1,0,0,0,0,1,0,0,0,0.5712346065098306,2.342
36,41.867108,-87.654224,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,1,0,0,0,0,0,0,1,0,0,0,0.5712346065098306,2.342
37,41.896282,-87.655232,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,0,1,0,0,0,0,1,0,0,0,0.7006502925722511,2.342
38,41.919343,-87.694259,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,1,0,0,0,0,0,1,0,0,0,0.0006903264561528245,2.342
39,41.919343,-87.694259,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,0,1,0,0,0,0,1,0,0,0,0.0006903264561528245,2.342
40,41.921965,-87.632085,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,0,1,0,0,0,0,1,0,0,0,0.8669218681749369,2.342
41,41.688324,-87.676709,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,0,1,0,0,0,0,1,0,0,0,0.5299644127656913,2.342
42,41.720848,-87.666014,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,1,0,0,0,0,0,1,0,0,0,0.027956626060435086,2.342
43,41.731922,-87.677512,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,1,0,0,0,0,0,1,0,0,0,0.5754408624507836,2.342
44,41.731922,-87.677512,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,0,1,0,0,0,0,1,0,0,0,0.5754408624507836,2.342
45,41.731922,-87.677512,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,1,0,0,0,0,0,0,1,0,0,0,0.5754408624507836,2.342
46,41.999128999999996,-87.795585,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,1,0,0,0,0,0,1,0,0,0,0.002978462953366022,2.342
47,41.999128999999996,-87.795585,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,0,1,0,0,0,0,1,0,0,0,0.002978462953366022,2.342
48,41.907645,-87.760886,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,0,1,0,0,0,0,1,0,0,0,0.005440446808169836,2.342
49,41.732984,-87.649642,56.0,-9.0,48,9.0,0.42,29.1,5.2,5,7.6,0,0,0,1,0,0,0,0,1,0,0,0,0.0036247754806179857,2.342
